block,cycle,AR,direction,key_response
1,1,19.36,decreasing,z
1,2,19.36,decreasing,['']
1,2,17.64,decreasing,['']
1,2,16.0,decreasing,['']
1,2,14.440000000000001,decreasing,['']
1,2,12.959999999999999,decreasing,['']
1,2,11.56,decreasing,['']
1,2,10.24,decreasing,['']
1,2,9.0,decreasing,['']
1,2,7.84,decreasing,['']
1,2,6.760000000000001,decreasing,['']
1,2,5.760000000000001,decreasing,['']
1,2,4.84,decreasing,['']
1,2,4.0,decreasing,['']
1,2,3.2399999999999998,decreasing,['']
1,2,2.56,decreasing,['']
1,2,1.96,decreasing,['']
1,2,1.4400000000000002,decreasing,['']
1,2,1.0,decreasing,['']
1,2,1.0,decreasing,['']
1,2,0.6944444444444444,decreasing,['']
1,2,0.5102040816326531,decreasing,['']
1,2,0.390625,decreasing,['']
1,2,0.30864197530864196,decreasing,['']
1,2,0.25,decreasing,['']
1,2,0.2066115702479339,decreasing,['']
1,2,0.1736111111111111,decreasing,['']
1,2,0.14792899408284024,decreasing,['']
1,2,0.12755102040816327,decreasing,['']
1,2,0.11111111111111112,decreasing,['']
1,2,0.09765625,decreasing,['']
1,2,0.08650519031141868,decreasing,['']
1,2,0.07716049382716049,decreasing,['']
1,2,0.06925207756232686,decreasing,['']
1,2,0.0625,decreasing,['']
1,2,0.05668934240362812,increasing,m
1,2,0.05668934240362812,increasing,['']
1,2,0.0625,increasing,['']
1,2,0.06925207756232686,increasing,['']
1,2,0.07716049382716049,increasing,['']
1,2,0.08650519031141868,increasing,['']
1,2,0.09765625,increasing,['']
1,2,0.11111111111111112,increasing,['']
1,2,0.12755102040816327,increasing,['']
1,2,0.14792899408284024,increasing,['']
1,2,0.1736111111111111,increasing,['']
1,2,0.2066115702479339,increasing,['']
1,2,0.25,increasing,['']
1,2,0.30864197530864196,increasing,['']
1,2,0.390625,increasing,['']
1,2,0.5102040816326531,increasing,['']
1,2,0.6944444444444444,increasing,['']
1,2,1.0,increasing,['']
1,2,1.0,increasing,['']
1,2,1.4400000000000002,decreasing,z
1,3,1.4400000000000002,decreasing,['']
1,3,1.0,decreasing,['']
1,3,1.0,increasing,m
1,3,1.0,increasing,['']
1,3,1.0,decreasing,z
1,4,1.0,decreasing,['']
1,4,1.0,decreasing,['']
1,4,0.6944444444444444,decreasing,['']
1,4,0.5102040816326531,decreasing,['']
1,4,0.390625,decreasing,['']
1,4,0.30864197530864196,decreasing,['']
1,4,0.25,decreasing,['']
1,4,0.2066115702479339,decreasing,['']
1,4,0.1736111111111111,decreasing,['']
1,4,0.14792899408284024,increasing,m
1,4,0.14792899408284024,increasing,['']
1,4,0.1736111111111111,increasing,['']
1,4,0.2066115702479339,increasing,['']
1,4,0.25,increasing,['']
1,4,0.30864197530864196,increasing,['']
1,4,0.390625,increasing,['']
1,4,0.5102040816326531,increasing,['']
1,4,0.6944444444444444,increasing,['']
1,4,1.0,increasing,['']
