block,cycle,AR,direction,key_response
1,1,1.0,decreasing,m
1,1,0.81,decreasing,['']
1,1,0.64,decreasing,['']
1,1,0.49,decreasing,['']
1,1,0.36,decreasing,['']
1,1,0.25,decreasing,['']
1,1,0.16,decreasing,['']
1,1,0.09,increasing,z
1,2,0.09,increasing,['']
1,2,0.16,increasing,['']
1,2,0.25,increasing,['']
1,2,0.36,increasing,['']
1,2,0.49,increasing,['']
1,2,0.64,increasing,['']
1,2,0.81,increasing,['']
1,2,1.0,increasing,['']
1,2,1.21,increasing,['']
1,2,1.44,increasing,['']
1,2,1.69,increasing,['']
1,2,1.96,increasing,['']
1,2,2.25,decreasing,m
1,2,2.25,decreasing,['']
1,2,1.96,decreasing,['']
1,2,1.69,decreasing,['']
1,2,1.44,decreasing,['']
1,2,1.21,decreasing,['']
1,2,1.0,decreasing,['']
1,2,0.81,decreasing,['']
1,2,0.64,increasing,z
1,3,0.64,increasing,['']
1,3,0.81,increasing,['']
1,3,1.0,increasing,z
1,3,1.21,increasing,['']
1,3,1.44,increasing,['']
1,3,1.69,increasing,['']
1,3,1.96,increasing,['']
1,3,2.25,increasing,['']
1,3,2.56,decreasing,m
1,4,2.56,decreasing,['']
1,4,2.25,decreasing,['']
1,4,1.96,decreasing,['']
1,4,1.69,decreasing,['']
1,4,1.44,decreasing,['']
1,4,1.21,decreasing,m
1,4,1.0,decreasing,['']
1,4,0.81,decreasing,['']
1,4,0.64,decreasing,['']
1,4,0.49,increasing,z
1,5,0.49,increasing,['']
1,5,0.64,increasing,['']
1,5,0.81,increasing,['']
1,5,1.0,increasing,['']
1,5,1.21,increasing,['']
1,5,1.44,increasing,['']
1,5,1.69,increasing,['']
1,5,1.96,increasing,['']
1,5,2.25,decreasing,m
1,5,2.25,decreasing,['']
1,5,1.96,decreasing,['']
1,5,1.69,decreasing,['']
1,5,1.44,decreasing,['']
1,5,1.21,decreasing,['']
1,5,1.0,decreasing,['']
1,5,0.81,decreasing,['']
1,5,0.64,decreasing,['']
1,5,0.49,decreasing,['']
1,5,0.36,increasing,z
1,6,0.36,increasing,['']
1,6,0.49,increasing,['']
1,6,0.64,increasing,['']
1,6,0.81,increasing,['']
1,6,1.0,decreasing,m
1,6,1.0,decreasing,['']
1,6,0.81,decreasing,['']
1,6,0.64,decreasing,['']
1,6,0.49,decreasing,['']
1,6,0.36,increasing,z
1,7,0.36,increasing,['']
1,7,0.49,increasing,['']
1,7,0.64,increasing,z
1,7,0.81,increasing,['']
1,7,1.0,increasing,['']
1,7,1.21,decreasing,m
1,8,1.21,decreasing,['']
1,8,1.0,decreasing,['']
1,8,0.81,decreasing,['']
1,8,0.64,decreasing,['']
1,8,0.49,decreasing,['']
1,8,0.36,decreasing,['']
1,8,0.25,increasing,z
1,8,0.25,increasing,['']
1,8,0.36,increasing,['']
1,8,0.49,decreasing,m
1,9,0.49,decreasing,['']
1,9,0.36,decreasing,['']
1,9,0.25,increasing,z
1,9,0.25,increasing,['']
1,9,0.36,increasing,['']
1,9,0.49,increasing,['']
1,9,0.64,increasing,['']
1,9,0.81,decreasing,m
1,10,0.81,decreasing,['']
1,10,0.64,decreasing,['']
1,10,0.49,decreasing,['']
1,10,0.36,decreasing,['']
1,10,0.25,decreasing,['']
1,10,0.16,increasing,z
1,10,0.16,increasing,['']
1,10,0.25,increasing,['']
1,10,0.36,increasing,['']
1,10,0.49,increasing,['']
1,10,0.64,increasing,['']
1,10,0.81,increasing,['']
1,10,1.0,decreasing,m
1,11,1.0,decreasing,['']
1,11,0.81,decreasing,['']
1,11,0.64,decreasing,['']
1,11,0.49,decreasing,['']
1,11,0.36,increasing,z
1,11,0.36,increasing,['']
1,11,0.49,increasing,['']
1,11,0.64,increasing,['']
1,11,0.81,increasing,['']
1,11,1.0,increasing,z
1,11,1.21,increasing,['']
1,11,1.44,decreasing,m
1,12,1.44,decreasing,['']
1,12,1.21,decreasing,['']
1,12,1.0,decreasing,m
1,12,0.81,decreasing,['']
1,12,0.64,decreasing,['']
1,12,0.49,decreasing,['']
1,12,0.36,decreasing,['']
1,12,0.25,increasing,z
1,13,0.25,increasing,['']
1,13,0.36,increasing,['']
1,13,0.49,decreasing,m
1,13,0.49,decreasing,['']
1,13,0.36,decreasing,['']
1,13,0.25,decreasing,['']
1,13,0.16,increasing,z
1,14,0.16,increasing,['']
1,14,0.25,increasing,['']
1,14,0.36,increasing,['']
1,14,0.49,increasing,['']
1,14,0.64,increasing,['']
1,14,0.81,decreasing,m
1,14,0.81,decreasing,['']
1,14,0.64,decreasing,['']
1,14,0.49,decreasing,['']
1,14,0.36,increasing,z
1,15,0.36,increasing,['']
1,15,0.49,increasing,['']
1,15,0.64,decreasing,m
1,15,0.64,decreasing,['']
1,15,0.49,decreasing,['']
1,15,0.36,decreasing,['']
1,15,0.25,increasing,z
1,16,0.25,increasing,['']
1,16,0.36,increasing,['']
1,16,0.49,increasing,['']
1,16,0.64,increasing,['']
