block,trial,motion_type,key_response,RT
1,1,horizontal,z,2.0229822916671765
1,2,vertical,m,2.0189238749999276
1,3,horizontal,z,2.0201058333332185
1,4,vertical,m,2.019883791666871
1,5,vertical,m,2.0214142916674973
1,6,vertical,m,2.0204924166655474
1,7,horizontal,z,2.019329125000695
1,8,horizontal,z,2.0195416249998743
1,9,horizontal,z,2.020459249999476
1,10,vertical,m,2.01923749999969
1,11,horizontal,z,2.020220166667059
1,12,vertical,m,2.019686791667482
1,13,vertical,m,2.021085750000566
1,14,horizontal,m,2.0200889999996434
1,15,horizontal,z,2.0201499583336044
1,16,vertical,m,2.0198585833322795
1,17,vertical,m,2.0204499999999825
1,18,horizontal,z,2.01883908333366
1,19,vertical,m,2.0220454999998765
1,20,horizontal,z,2.019524166666997
